=======================================================================================
STRINGS DATA FILE
=======================================================================================

=======================================================================================
*BEGIN*
=======================================================================================

Language Version 1                                     := (English)
Key Group 1                                            := Main Window - Commands
Key Group 2                                            := Main Window - Display Options
Key Group 3                                            := Main Window - Orders
Key Group 4                                            := Main Window - Selection
Key Group 5                                            := Main Window - Views
Key Group 6                                            := Space Combat
Key Group 7                                            := Ground Combat
Key Group 8                                            := Information Windows
Key Name 1                                             := Toggle Spacebox Display
Key Name 2                                             := Toggle Background Grid Display
Key Name 3                                             := Toggle Warp Point Names Display
Key Name 4                                             := View System Topdown
Key Name 5                                             := View System Skewed
Key Name 6                                             := Follow Selected Object Skewed View
Key Name 7                                             := Toggle FPS Display
Key Name 8                                             := Start/End Cheat Code
Key Name 9                                             := Move To
Key Name 10                                            := Move To Waypoint 
Key Name 11                                            := Attack 
Key Name 12                                            := Colonize 
Key Name 13                                            := Expore 
Key Name 14                                            := Set Construction Queue 
Key Name 15                                            := Repair At Nearest 
Key Name 16                                            := Resupply At Nearest 
Key Name 17                                            := Sweep Mines 
Key Name 18                                            := Warp
Key Name 19                                            := Survey System
Key Name 20                                            := Repeat Orders
Key Name 21                                            := Cancel Orders
Key Name 22                                            := View Orders
Key Name 23                                            := Toggle Minister 
Key Name 24                                            := Set Strategy 
Key Name 25                                            := Patrol 
Key Name 26                                            := Sentry 
Key Name 27                                            := Use Component 
Key Name 28                                            := Scrap 
Key Name 29                                            := Analyze Components 
Key Name 30                                            := Retrofit
Key Name 31                                            := Mothball
Key Name 32                                            := Unmothball
Key Name 33                                            := Self Destruct
Key Name 34                                            := Fire On
Key Name 35                                            := Space Fold 
Key Name 36                                            := Rename
Key Name 37                                            := Use Unit 
Key Name 38                                            := Convert Resources 
Key Name 39                                            := Cloak
Key Name 40                                            := Decloak
Key Name 41                                            := Use Facility 
Key Name 42                                            := Scrap Cargo 
Key Name 43                                            := Abandon Planet 
Key Name 44                                            := Bombard Planet 
Key Name 45                                            := Join Fleet 
Key Name 46                                            := Fleet Transfer
Key Name 47                                            := Set Formation 
Key Name 48                                            := Transfer Cargo 
Key Name 49                                            := Load Cargo Remotely  
Key Name 50                                            := Drop Cargo Remotely 
Key Name 51                                            := Jettison Cargo 
Key Name 52                                            := Launch Units Remotely 
Key Name 53                                            := Recover Units Remotely 
Key Name 54                                            := Create Planet 
Key Name 55                                            := Destroy Planet 
Key Name 56                                            := Create Storm 
Key Name 57                                            := Destroy Storm 
Key Name 58                                            := Create Star 
Key Name 59                                            := Destroy Star 
Key Name 60                                            := Open Warp Point 
Key Name 61                                            := Close Warp Point 
Key Name 62                                            := Create Black Hole 
Key Name 63                                            := Destroy Black Hole 
Key Name 64                                            := Create Nebulae 
Key Name 65                                            := Destroy Nebulae
Key Name 66                                            := Create Stellar Construction
Key Name 67                                            := Movement Log - Play
Key Name 68                                            := Movement Log - Pause
Key Name 69                                            := Movement Log - Stop
Key Name 70                                            := Return
Key Name 71                                            := Transfer Units
Key Name 72                                            := Send To Waypoint 1
Key Name 73                                            := Send To Waypoint 2
Key Name 74                                            := Send To Waypoint 3
Key Name 75                                            := Send To Waypoint 4
Key Name 76                                            := Send To Waypoint 5
Key Name 77                                            := Send To Waypoint 6
Key Name 78                                            := Send To Waypoint 7
Key Name 79                                            := Send To Waypoint 8
Key Name 80                                            := Send To Waypoint 9
Key Name 81                                            := Set Waypoint 1
Key Name 82                                            := Set Waypoint 2
Key Name 83                                            := Set Waypoint 3
Key Name 84                                            := Set Waypoint 4
Key Name 85                                            := Set Waypoint 5
Key Name 86                                            := Set Waypoint 6
Key Name 87                                            := Set Waypoint 7
Key Name 88                                            := Set Waypoint 8
Key Name 89                                            := Set Waypoint 9
Key Name 90                                            := Next Ship
Key Name 91                                            := Previous Ship
Key Name 92                                            := Next Fleet
Key Name 93                                            := Previous Fleet
Key Name 94                                            := Next Colony
Key Name 95                                            := Previous Colony
Key Name 96                                            := Game Menu
Key Name 97                                            := Vehicle Designs
Key Name 98                                            := Systems List
Key Name 99                                            := Planets List
Key Name 100                                           := Colonies List
Key Name 101                                           := Ships List
Key Name 102                                           := Construction Queues
Key Name 103                                           := Research
Key Name 104                                           := Intelligence
Key Name 105                                           := Empires
Key Name 106                                           := Empire Options
Key Name 107                                           := Log
Key Name 108                                           := Help
Key Name 109                                           := End Turn
Key Name 110                                           := Spin Viewpoint Left
Key Name 111                                           := Spin Viewpoint Right
Key Name 112                                           := Zoom Viewpoint In
Key Name 113                                           := Zoom Viewpoint Out
Key Name 114                                           := Raise Viewpoint
Key Name 115                                           := Lower Viewpoint
Key Name 116                                           := Clear Viewpoint Offset
Key Name 117                                           := Move Viewpoint Offset Forward
Key Name 118                                           := Move Viewpoint Offset Backward
Key Name 119                                           := Toggle Marked Minefield
Key Name 120                                           := Toggle System To Avoid
Key Name 121                                           := Set Warp Transit Order
Key Name 122                                           := Increase Ambient Brightness
Key Name 123                                           := Decrease Ambient Brightness
Key Name 124                                           := Show Names
Key Name 125                                           := Expand Map
Key Name 126                                           := Change View Mode
Key Name 127                                           := Center View
Key Name 128                                           := Ship List Select All
Key Name 129                                           := Ship List Select None
Key Name 130                                           := Back To Ship List
Key Name 131                                           := Sector View
Key Name 132                                           := Item Report
Key Name 133                                           := System Report
Key Name 134                                           := Toggle Empire Icon Display
Key Name 135                                           := Set Colony Type
Key Name 136                                           := 
Key Name 137                                           := 
Key Name 138                                           := 
Key Name 139                                           := 
Key Name 140                                           := 
Key Name 141                                           := 
Key Name 142                                           := 
Key Name 143                                           := 
Key Name 144                                           := 
Key Name 145                                           := 
Key Name 146                                           := 
Key Name 147                                           := 
Key Name 148                                           := 
Key Name 149                                           := 
Key Name 150                                           := Next Filter
Key Name 151                                           := Next Column Layout
Key Name 152                                           := Start\Stop Formula Log
Key Name 153                                           := Expand Quadrant Map
Key Name 154                                           := 
Key Name 155                                           := 
Key Name 156                                           := 
Key Name 157                                           := 
Key Name 158                                           := 
Key Name 159                                           := 
Key Name 160                                           := View Weapons Range
Key Name 161                                           := View Destinations
Key Name 162                                           := View Targets
Key Name 163                                           := View Damage
Key Name 164                                           := View Names
Key Name 165                                           := Change View Mode
Key Name 166                                           := Options
Key Name 167                                           := Item Report
Key Name 168                                           := System Report
Key Name 169                                           := Order Start Time
Key Name 170                                           := Order Stop Time
Key Name 171                                           := Order Time Rate Decrease
Key Name 172                                           := Order Time Rate Increase
Key Name 173                                           := Order Timed Stop
Key Name 174                                           := Order Moveto
Key Name 175                                           := Order Clear Weapon Targeting
