=======================================================================================
STELLAR OBJECT TYPES DATA FILE
=======================================================================================

Maximum Stellar Object Types Allowed = 1000

Allowable Values for Physical Type: 
  None, Planet, Asteroids, Storm, Star, Warp Point, Destroyed Star, Comet

Allowable Values for Planet Size:
  Asteroids, Tiny, Small, Medium, Large, Huge

Allowable Values for Planet Physical Type:
  Rock, Ice, Gas Giant

Allowable Values for Planet Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

NOTE: The following combinations of plant physical type and atmosphere are 
not allowed: Gas Giant x None.

Allowable Values for all other sizes:
  Tiny, Small, Medium, Large, Huge

Allowable Values for Star Age:
  Young, Average, Old, Ancient

Allowable Values for Star Color:
  Yellow, Red, Purple, Green, Blue, White, Orange

Allowable Values for Star Luminosity:
  Dim, Average, Bright

None           - Gray
Methane        - Purple
Oxygen         - Blue
Hydrogen       - Red, Orange
Carbon Dioxide - Green, Yellow

Allowable Values for Planet Gravity:
  Any Formula

Allowable Values for Planet Temperature:
  Any Formula

Allowable Values for Planet Radiation:
  Any Formula


=======================================================================================
*BEGIN*
=======================================================================================

//-------------------------------------------------------------------------------------------
// Gas Planets
//-------------------------------------------------------------------------------------------
Stellar Object Name        := Planet Gas Carbon Tiny
Physical Type              := Planet
XFile Class Name           := Planet Gas Carbon Tiny
Maximum Model Size         := 12
Hex Size                   := 1
Picture Index              := 356
Portrait Filename          := planet_gas_ringed_0001_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0001_huge_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Carbon_Colonized.bmp

Stellar Object Name        := Planet Gas Carbon Small
Physical Type              := Planet
XFile Class Name           := Planet Gas Carbon Small
Maximum Model Size         := 14
Hex Size                   := 1
Picture Index              := 356
Portrait Filename          := planet_gas_ringed_0001_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0001_huge_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Carbon_Colonized.bmp

Stellar Object Name        := Planet Gas Carbon Medium
Physical Type              := Planet
XFile Class Name           := Planet Gas Carbon Medium
Maximum Model Size         := 16
Hex Size                   := 1
Picture Index              := 356
Portrait Filename          := planet_gas_ringed_0001_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0001_huge_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Carbon_Colonized.bmp

Stellar Object Name        := Planet Gas Carbon Large
Physical Type              := Planet
XFile Class Name           := Planet Gas Carbon Large
Maximum Model Size         := 18
Hex Size                   := 1
Picture Index              := 356
Portrait Filename          := planet_gas_ringed_0001_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0001_huge_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Carbon_Colonized.bmp

Stellar Object Name        := Planet Gas Carbon Huge
Physical Type              := Planet
XFile Class Name           := Planet Gas Carbon Huge
Maximum Model Size         := 20
Hex Size                   := 1
Picture Index              := 356
Portrait Filename          := planet_gas_ringed_0001_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0001_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Carbon_Colonized.bmp

Stellar Object Name        := Planet Gas Hydrogen Tiny
Physical Type              := Planet
XFile Class Name           := Planet Gas Hydrogen Tiny
Maximum Model Size         := 12
Hex Size                   := 1
Picture Index              := 358
Portrait Filename          := planet_gas_ringed_0002_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0002_huge_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
